date,temp_anom,cpi,oil,pce_nom,unemploy,pop,y10,sp500,div,gold,infl,dloil,pce_real,act,unrate,dy10,ret_eq,ret_bond,ret_gold,temp_shock
2000-05-01,0.2987,171.5,27.73761904761905,6737.2,5758.0,281877.0,6.44,1418.48,16.72,275.19,1.4002335311044334,19.758971563204675,39.283965014577255,0.4220778075139542,2.0427349517697437,0.4500000000000002,-2.9966704505700545,-3.2175194609253706,-1.7386940062958267,-0.05455074771737961
2000-06-01,0.3449,172.4,29.795454545454547,6773.6,5651.0,282126.0,6.1,1461.96,16.7,285.73,6.28090994831787,7.1566269658341675,39.29002320185615,0.015420338023863778,2.0030057492042563,-0.34000000000000075,2.590949942409939,2.7332575043068505,3.2351449161052592,-0.008901947967661972
2000-07-01,0.3254,172.8,28.682380952380953,6793.7,5747.0,282385.0,6.05,1473.0,16.583333333333332,281.59,2.7809977684349008,-3.807281969436671,39.31539351851851,0.06455106683946887,2.035164757334844,-0.04999999999999982,0.6143381949898922,0.6765835192970902,-1.6912694824980257,-0.028953148217944258
2000-08-01,0.3741,172.8,30.19608695652174,6828.7,5853.0,282653.0,5.83,1485.46,16.46666666666667,274.47,0.0,5.142931485860647,39.51793981481481,0.5138606562038905,2.0707369106289337,-0.21999999999999975,0.9346693922441702,2.264166666666665,-2.561014693015373,0.019195651531773383
2000-09-01,0.3079,173.7,33.1447619047619,6913.1,5625.0,282932.0,5.8,1468.05,16.35,273.68,6.233780252523857,9.317234721427559,39.79907887161774,0.7089026764456108,1.9881102172960288,-0.03000000000000025,-1.6056644433061558,0.20635164562301384,-0.8077241567307603,-0.04755554871850881
2000-10-01,0.1901,174.0,30.96090909090909,6919.6,5534.0,283201.0,5.74,1390.14,16.323333333333334,270.0,2.0707511609643348,-6.815928053206788,39.767816091954025,-0.07858238350713087,1.9540891451654478,-0.05999999999999961,-5.5278113916777265,0.7907707365863023,-1.5263207638444243,-0.16590674896879115
2000-11-01,0.241,174.1,32.55227272727273,6934.5,5639.0,283453.0,5.72,1378.04,16.296666666666667,266.01,0.6894570715367365,5.012177717567212,39.83055715106261,0.1576441063953382,1.989395067259828,-0.020000000000000462,-0.8331796671350067,0.5808785773719423,-1.5462604497963994,-0.11555794921907347
2000-12-01,0.1971,174.0,25.66,6979.1,5634.0,283696.0,5.24,1330.93,16.27,271.45,-0.6894570715367365,-23.7913829680068,40.10977011494253,0.6985563078107937,1.9859285996277705,-0.47999999999999954,-3.319151350002398,4.374121422628058,2.0818605851048666,-0.1600091494693558
2001-01-01,0.3569,175.1,25.624545454545455,7009.8,6023.0,283920.0,5.16,1335.63,16.169999999999998,265.49,7.562328092732429,-0.1382660245446754,40.033123929183326,-0.19127387410029506,2.121372217526064,-0.08000000000000007,-0.17684168139944578,0.4464726589389649,-2.8502725239506255,-0.0007603497196380093
2001-02-01,0.3846,175.8,27.503500000000003,7029.3,6089.0,284137.0,5.1,1305.75,16.07,261.87,4.787695151124183,7.076257035926847,39.984641638225256,-0.1211788320931273,2.1429803228724174,-0.0600000000000005,-2.559018190199433,0.5110254040729887,-1.7718723733132435,0.02638845003007967
2001-03-01,0.512,176.2,24.49727272727273,7022.1,6141.0,284350.0,4.89,1185.85,15.97,263.03,2.7272739012037306,-11.575147520103046,39.85300794551647,-0.32975372565307026,2.159662387902233,-0.20999999999999996,-9.746886771408784,1.8777271748996887,0.21471684471476848,0.15323724977979736
2001-04-01,0.4439,176.9,25.657142857142855,7036.2,6271.0,284581.0,5.14,1189.84,15.876666666666663,260.48,4.757865196392785,4.6260212712504245,39.77501413227812,-0.19589545525553476,2.203590541884384,0.25,0.050548273774458655,-1.9889887663660657,-1.3706898963004477,0.08458604952951504
2001-05-01,0.4828,177.7,28.313636363636363,7083.1,6226.0,284810.0,5.39,1270.37,15.783333333333331,272.36,5.414560793839129,9.852153208899805,39.85987619583568,0.21312792754701881,2.1860187493416663,0.25,6.201203287602854,-2.022880066153261,4.008650380572476,0.1229348492792327
2001-06-01,0.4426,178.0,27.84904761904762,7097.1,6484.0,285062.0,5.28,1238.71,15.69,270.23,2.0241781577748696,-1.6544769915813884,39.87134831460674,0.028776978958200417,2.2745928955806107,-0.10999999999999943,-2.586951933322691,1.1604851535187561,-0.9538087515889693,0.08218364902895037
2001-07-01,0.507,177.5,24.613636363636363,7109.2,6583.0,285309.0,5.24,1204.45,15.706666666666669,267.53,-3.37552965193737,-12.349815590324065,40.051830985915494,0.451641137597969,2.3073229375869673,-0.040000000000000036,-2.414842212593885,1.0412941376614477,-0.7228797273257648,0.14603244877866806
2001-08-01,0.4994,177.5,25.68,7146.1,7042.0,285570.0,4.97,1178.5,15.723333333333333,272.39,0.0,4.241186573903111,40.25971830985916,0.5177033442314904,2.4659453023777007,-0.27000000000000046,-2.0669387204189316,2.5966666666666702,1.800315330148905,0.13788124852838596
2001-09-01,0.4892,178.3,25.6195,7054.8,7142.0,285843.0,4.73,1044.64,15.74,283.42,5.39629914434947,-0.2358698546734761,39.567021873247334,-1.7355433085566307,2.4985743922362977,-0.23999999999999932,-12.381220254820741,1.8844750713042053,3.519811756112734,0.12713004827810365
2001-10-01,0.4612,177.7,20.53782608695652,7250.2,7694.0,286098.0,4.57,1076.59,15.740000000000002,283.06,-4.04494765018697,-22.108541940133854,40.80022509848059,3.069160818740446,2.6892882858321276,-0.16000000000000014,3.471471127296151,2.011245637515582,0.20997826174582457,0.0985788480278213
2001-11-01,0.6861,177.4,18.797272727272727,7209.6,8003.0,286341.0,4.65,1129.68,15.740000000000002,276.16,-2.0275983421527144,-8.855656925937927,40.64036076662909,-0.39259181520727715,2.794919344418019,0.08000000000000007,5.098585568040428,-0.09020013815394098,-2.2988816125502964,0.322927647777539
2001-12-01,0.5356,176.7,18.705263157894734,7190.0,8258.0,286570.0,5.09,1144.93,15.74,275.85,-4.744428659793698,-0.49068550601978345,40.69043576683645,0.1231391026995432,2.8816694001465613,0.4399999999999995,1.8507758249473123,-2.7371309450171877,0.28305223732054685,0.17187644752725662
2002-01-01,0.6401,177.1,19.416818181818183,7217.7,8182.0,286788.0,5.04,1140.21,15.736666666666668,281.51,2.7133985557647122,3.7334670548586857,40.75494071146245,0.15840054009816917,2.8529785067715525,-0.04999999999999982,-0.5242740888557409,0.5980501203529394,1.804956574589145,0.27582524727697433
2002-02-01,0.6341,177.8,20.2755,7259.7,8215.0,286994.0,4.91,1100.67,15.733333333333334,295.5,4.7337339492194985,4.327365350715784,40.83070866141732,0.18573847807741295,2.8624291797041055,-0.1299999999999999,-3.804766422776934,1.0655221708983742,4.455608762766783,0.269274047026692
2002-03-01,0.7866,178.8,23.696666666666665,7276.7,8304.0,287190.0,5.28,1153.79,15.73,294.06,6.730247591531935,15.592113066342694,40.69742729306488,-0.3269582593185216,2.891465580277865,0.3700000000000001,4.266001679805036,-3.1116872992943287,-1.049354835625227,0.42122284677640964
2002-04-01,0.5572,179.8,25.72863636363636,7345.6,8599.0,287397.0,5.21,1111.93,15.833333333333332,302.68,6.692711157727516,8.227023570051628,40.85428253615128,0.3846772479425553,2.992028448452837,-0.07000000000000028,-4.134626890765132,0.442274070189376,2.3315054378703515,0.19127164652612738
2002-05-01,0.4972,179.8,25.345454545454547,7321.8,8399.0,287623.0,5.16,1079.25,15.936666666666667,314.49,0.0,-1.5005220885799808,40.72191323692992,-0.32452951291088716,2.9201419914262767,-0.04999999999999982,-2.8601109633080415,0.8341666666666654,3.827613730627011,0.130720446275845
